Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
312	0.006943969	55098.25146	1.81E-05	2.931428346	2.931554375	10.03494837	73.48256173	75.29586939	2.684100881	0.372564238	43.73834082	46.32541524	149.1178357	26.19502791	34.76576062
313	0.007326083	55077.30282	1.82E-05	3.006723978	3.006856993	10.27589475	73.40060489	75.29721194	2.823022344	0.354230282	43.76252581	46.35764635	148.7768192	26.21373259	34.79121903
314	0.00772622	55055.93982	1.82E-05	3.082021096	3.08216143	10.51607732	73.31803461	75.29896638	2.96801792	0.33692519	43.78668587	46.38984406	148.4386335	26.23262615	34.81701986
315	0.008145076	55034.16823	1.82E-05	3.157320101	3.157468101	10.7555022	73.23486745	75.30111599	3.119300066	0.32058474	43.81082042	46.42200759	148.1032466	26.25171751	34.84317595
316	0.008583369	55011.99362	1.82E-05	3.232621376	3.232777403	10.99417541	73.15111991	75.30364538	3.277086551	0.305149096	43.8349289	46.45413615	147.7706271	26.27101575	34.86970032
317	0.009041836	54989.4214	1.82E-05	3.30792529	3.308089719	11.23210287	73.0668084	75.30654048	3.441600521	0.290562485	43.8590107	46.48622894	147.440744	26.29053002	34.8966062
318	0.009521236	54966.4568	1.82E-05	3.383232198	3.383405417	11.4692904	72.98194927	75.30978845	3.613070561	0.276772895	43.88306524	46.51828515	147.1135663	26.31026962	34.92390697
319	0.010022348	54943.10486	1.82E-05	3.458542443	3.458724856	11.70574372	72.89655878	75.31337758	3.791730762	0.263731806	43.90709191	46.55030395	146.7890637	26.3302439	34.95161614
320	0.010545976	54919.3705	1.82E-05	3.533856355	3.534048382	11.94146846	72.8106531	75.31729728	3.977820782	0.25139393	43.93109009	46.5822845	146.4672063	26.35046228	34.97974737
321	0.011092943	54895.25847	1.82E-05	3.609174257	3.609376332	12.17647017	72.72424835	75.32153796	4.171585911	0.239716986	43.95505917	46.61422598	146.1479644	26.37093427	35.00831444
322	0.011664094	54870.77335	1.82E-05	3.68449646	3.684709034	12.41075432	72.63736056	75.32609101	4.373277129	0.228661475	43.97899853	46.64612751	145.8313086	26.39166937	35.03733122
323	0.012260299	54845.91962	1.82E-05	3.759823267	3.760046808	12.6443263	72.55000565	75.33094872	4.583151172	0.21819049	44.00290752	46.67798824	145.51721	26.41267716	35.06681169
324	0.01288245	54820.70158	1.82E-05	3.835154974	3.835389966	12.87719144	72.46219949	75.33610425	4.801470586	0.208269525	44.0267855	46.70980729	145.20564	26.43396723	35.09676991
325	0.013531462	54795.12345	1.82E-05	3.910491871	3.910738817	13.10935497	72.37395783	75.34155158	5.028503792	0.198866311	44.05063183	46.74158377	144.8965702	26.45554917	35.12722
326	0.014208274	54769.18927	1.83E-05	3.985834241	3.986093662	13.34082209	72.28529633	75.34728542	5.264525142	0.189950655	44.07444585	46.77331678	144.5899728	26.47743259	35.15817618
